group,year,period,estimate,conf_low,conf_high,conf_interval_width
General Population,2014,Early (2014-2017),0.977,0.976,0.978,0.0020000000000000018
General Population,2015,Early (2014-2017),0.971,0.97,0.973,0.0030000000000000027
General Population,2016,Early (2014-2017),0.966,0.964,0.967,0.0030000000000000027
General Population,2017,Early (2014-2017),0.967,0.965,0.969,0.0040000000000000036
General Population,2018,Modern (2018-2022),0.984,0.983,0.985,0.0020000000000000018
General Population,2019,Modern (2018-2022),0.986,0.986,0.987,0.0010000000000000009
General Population,2020,Modern (2018-2022),0.991,0.99,0.992,0.0020000000000000018
General Population,2021,Modern (2018-2022),0.988,0.988,0.989,0.0010000000000000009
General Population,2022,Modern (2018-2022),0.994,0.994,0.995,0.0010000000000000009
Older American,2014,Early (2014-2017),0.982,0.979,0.985,0.006000000000000005
Older American,2015,Early (2014-2017),0.978,0.974,0.981,0.007000000000000006
Older American,2016,Early (2014-2017),0.966,0.962,0.971,0.009000000000000008
Older American,2017,Early (2014-2017),0.961,0.954,0.969,0.015000000000000013
Older American,2018,Modern (2018-2022),0.985,0.981,0.989,0.008000000000000007
Older American,2019,Modern (2018-2022),0.984,0.98,0.987,0.007000000000000006
Older American,2020,Modern (2018-2022),0.981,0.977,0.985,0.008000000000000007
Older American,2021,Modern (2018-2022),0.984,0.982,0.987,0.0050000000000000044
Older American,2022,Modern (2018-2022),0.988,0.986,0.99,0.0040000000000000036
Servicemember,2014,Early (2014-2017),0.969,0.964,0.974,0.010000000000000009
Servicemember,2015,Early (2014-2017),0.956,0.95,0.963,0.013000000000000012
Servicemember,2016,Early (2014-2017),0.948,0.941,0.955,0.014000000000000012
Servicemember,2017,Early (2014-2017),0.963,0.957,0.969,0.01200000000000001
Servicemember,2018,Modern (2018-2022),0.98,0.977,0.983,0.006000000000000005
Servicemember,2019,Modern (2018-2022),0.983,0.98,0.985,0.0050000000000000044
Servicemember,2020,Modern (2018-2022),0.984,0.982,0.987,0.0050000000000000044
Servicemember,2021,Modern (2018-2022),0.983,0.981,0.985,0.0040000000000000036
Servicemember,2022,Modern (2018-2022),0.991,0.99,0.992,0.0020000000000000018
